year,title,length,score,sales,genre
1995,Halloween: The Curse of Michael Myers,37,50,15,Horror
1995,Assassins,9,60,30,Action
1995,The Scarlet Letter,18,55,10,Drama
1995,Jade,4,52,9,Action
1995,Mallrats,8,68,2,Romance
1995,Get Shorty,10,64,115,Comedy
1995,Vampire in Brooklyn,19,45,19,Comedy
1995,Leaving Las Vegas,17,71,49,Drama
Family,Family,Family,Family,Family,Family
1995,Home for the Holidays,21,63,17,Comedy
1995,Ace Ventura: When Nature Calls,30,61,212,Crime
1995,GoldenEye,9,66,352,Adventure
1995,The American President,22,65,107,Comedy
1995,Money Train,11,54,35,Action
1995,Casino,6,78,116,Drama
1995,Four Rooms,10,65,4,Crime
1995,Sense and Sensibility,21,72,135,Drama
1995,Nixon,5,71,13,History
1995,Cutthroat Island,16,57,10,Action
Drama,Drama,Drama,Drama,Drama,Drama
1995,Dead Man Walking,16,73,39,Drama
1996,From Dusk Till Dawn,19,69,25,Horror
1996,The Funeral,11,73,1,Crime
1996,White Squall,12,63,10,Action
1996,Broken Arrow,12,57,150,Action
1996,Happy Gilmore,13,65,41,Comedy
1996,Trainspotting,13,78,16,Drama
1996,Mary Reilly,11,57,12,Drama
1996,Executive Decision,18,58,121,Action
1996,Girl 6,6,57,4,Comedy
1996,Flirting with Disaster,22,63,14,Comedy
1996,Faithful,8,48,9,Comedy
1996,Mrs. Winterbourne,17,53,10,Comedy
1996,The Craft,9,63,24,Drama
1996,Twister,7,61,494,Action
1996,Flipper,7,53,20,Adventure
1996,Mission: Impossible,19,67,457,Adventure
1996,DragonHeart,11,64,115,Fantasy
1996,The Rock,8,69,335,Action
1996,The Phantom,11,47,17,Adventure
1996,The Cable Guy,13,57,102,Comedy
1996,The Hunchback of Notre Dame,27,68,100,Drama
1996,Lone Star,9,69,13,Drama
1996,Eraser,6,56,242,Action
1996,Independence Day,16,67,816,Action
1996,The Nutty Professor,19,54,128,Fantasy
1996,Striptease,10,44,113,Drama
1996,Kingpin,7,67,25,Comedy
1996,Courage Under Fire,18,62,100,Drama
1996,Phenomenon,10,62,152,Drama
1996,Fled,4,52,17,Action
1996,A Time to Kill,14,70,152,Crime
1996,Chain Reaction,14,53,60,Action
1996,Escape from L.A.,16,56,42,Action
1996,Basquiat,8,66,3,Drama
1996,The Fan,7,57,18,Drama
1996,Tin Cup,7,59,53,Comedy
1996,The Island of Dr. Moreau,24,46,49,Fantasy
1996,She's the One,13,57,9,Comedy
1996,Sling Blade,11,74,24,Drama
1996,Kama Sutra - A Tale of Love,27,57,4,Drama
1996,Maximum Risk,12,52,51,Action
1996,Bound,5,69,7,Crime
1996,The First Wives Club,20,65,116,Comedy
1996,Extreme Measures,16,57,17,Drama
1996,That Thing You Do!,18,68,34,Comedy
1996,The Long Kiss Goodnight,23,65,89,Crime
1996,The Ghost and the Darkness,26,64,75,Adventure
1996,Get on the Bus,14,70,5,Drama
1996,Swingers,8,68,4,Comedy
1996,Sleepers,8,73,165,Crime
1996,Michael Collins,15,67,16,Drama
1996,Romeo + Juliet,14,67,147,Drama
1996,Set It Off,10,69,41,Drama
1996,Ransom,6,64,309,Action
1996,The English Patient,19,70,231,Drama
Family,Family,Family,Family,Family,Family
1996,Jingle All the Way,18,55,129,Family
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1996,Jerry Maguire,13,67,273,Comedy
1996,Daylight,8,58,159,Action
1996,Mars Attacks!,13,61,101,Comedy
1996,Evita,5,59,141,History
1996,Scream,6,70,173,Crime
1997,Turbulence,10,52,11,Action
1997,The Relic,9,58,33,Horror
1997,Shadow Conspiracy,17,40,2,Action
1997,Mr. Nice Guy,12,63,18,Crime
1997,Dante's Peak,12,57,178,Action
1997,Absolute Power,14,64,50,Crime
1997,Donnie Brasco,13,74,41,Crime
1997,The Devil's Own,15,59,140,Crime
1997,Selena,6,70,60,Drama
1997,Liar Liar,9,64,181,Comedy
Family,Family,Family,Family,Family,Family
1997,The Saint,9,59,118,Thriller
1997,Chasing Amy,11,67,12,Comedy
1997,Grosse Pointe Blank,19,69,28,Action
1997,Anaconda,8,47,136,Adventure
1997,Breakdown,9,66,50,Drama
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1997,The Fifth Element,17,73,263,Adventure
1997,The Sweet Hereafter,19,68,3,Drama
1997,The Lost World: Jurassic Park,29,62,229,Adventure
1997,Con Air,7,65,224,Action
1997,Speed 2: Cruise Control,23,41,164,Action
1997,My Best Friend's Wedding,24,63,299,Comedy
1997,Batman & Robin,14,42,238,Action
1997,Face/Off,8,68,245,Action
1997,Men in Black,12,69,589,Action
1997,Contact,7,72,171,Drama
1997,A Simple Wish,13,55,8,Adventure
1997,Princess Mononoke,17,82,159,Adventure
1997,Air Force One,13,62,315,Action
1997,Spawn,5,50,87,Action
1997,Air Bud,7,53,23,Comedy
1997,Def Jam's How to Be a Player,28,53,13,Comedy
1997,Conspiracy Theory,17,65,136,Action
1997,The Full Monty,14,68,257,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1997,Event Horizon,13,65,26,Horror
1997,Cop Land,8,66,44,Action
1997,G.I. Jane,9,60,48,Action
1997,Deconstructing Harry,20,73,10,Comedy
1997,The Edge,8,67,43,Action
1997,Two Girls and a Guy,19,54,2,Drama
1997,Gattaca,7,75,12,Thriller
1997,The Spanish Prisoner,20,71,13,Crime
1997,Boogie Nights,13,75,43,Drama
1997,The Game,8,75,109,Drama
1997,Seven Years in Tibet,20,70,131,Adventure
1997,L.A. Confidential,17,77,126,Crime
1997,The Ice Storm,13,69,8,Drama
1997,Kiss the Girls,14,62,60,Drama
1997,The Devil's Advocate,20,72,152,Drama
1997,I Know What You Did Last Summer,31,56,125,Horror
1997,Switchback,10,58,6,Action
1997,Starship Troopers,17,67,121,Adventure
1997,Mad City,8,59,10,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
1997,The Man Who Knew Too Little,27,65,13,Comedy
1997,The Jackal,10,61,159,Action
1997,Titanic,7,75,1845,Drama
1997,The Rainmaker,13,67,45,Drama
Family,Family,Family,Family,Family,Family
1997,Mortal Kombat: Annihilation,27,38,51,Action
1997,Midnight in the Garden of Good and Evil,39,63,25,Crime
1997,Flubber,7,53,177,Comedy
1997,Amistad,7,68,74,Drama
1997,Good Will Hunting,17,79,225,Drama
1997,Scream 2,8,61,172,Horror
1997,Tomorrow Never Dies,19,60,333,Adventure
1997,Spice World,11,47,100,Adventure
1997,As Good as It Gets,18,72,314,Comedy
1997,Jackie Brown,12,73,39,Comedy
1997,Wag the Dog,11,67,64,Comedy
1997,The Postman,11,61,17,Drama
1997,Kundun,6,68,5,Drama
1998,Hard Rain,9,55,19,Thriller
1998,Half Baked,10,64,17,Comedy
1998,Central Station,15,76,5,Drama
1998,Buffalo '66,11,71,2,Romance
1998,Gods and Monsters,17,68,6,Drama
1998,Zero Effect,11,60,1,Comedy
1998,Deep Rising,11,60,11,Adventure
1998,The Replacement Killers,23,60,19,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
Drama,Drama,Drama,Drama,Drama,Drama
1998,"Lock, Stock and Two Smoking Barrels",35,75,3,Comedy
1998,A Civil Action,14,61,56,Drama
1998,The Big Lebowski,16,78,46,Comedy
1998,Wild Things,11,63,67,Crime
1998,The Newton Boys,15,59,76,Crime
Family,Family,Family,Family,Family,Family
1998,Lost in Space,13,50,136,Adventure
1998,City of Angels,14,64,198,Drama
1998,The Object of My Affection,26,56,46,Comedy
1998,Sliding Doors,13,65,58,Comedy
1998,The Big Hit,11,61,27,Action
1998,He Got Game,11,67,21,Drama
1998,Woo,3,55,8,Comedy
1998,Deep Impact,11,59,140,Action
1998,The Horse Whisperer,19,67,186,Drama
1998,Quest for Camelot,17,69,38,Fantasy
1998,Bulworth,8,63,29,Comedy
1998,Fear and Loathing in Las Vegas,30,72,10,Adventure
1998,The Truman Show,15,78,264,Comedy
1998,Six Days Seven Nights,21,56,164,Action
1998,Can't Hardly Wait,17,61,25,Comedy
Family,Family,Family,Family,Family,Family
Drama,Drama,Drama,Drama,Drama,Drama
1998,Doctor Dolittle,15,54,294,Comedy
1998,Out of Sight,12,65,77,Romance
1998,Armageddon,10,64,553,Action
1998,Small Soldiers,14,62,54,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
1998,Lethal Weapon 4,15,63,285,Action
1998,There's Something About Mary,28,65,369,Romance
1998,The Mask of Zorro,17,63,250,Action
1998,Saving Private Ryan,19,79,481,Drama
Drama,Drama,Drama,Drama,Drama,Drama
1998,The Negotiator,14,68,44,Action
1998,Ever After: A Cinderella Story,30,68,65,Drama
1998,Snake Eyes,10,58,103,Crime
1998,How Stella Got Her Groove Back,30,60,37,Comedy
1998,Run Lola Run,12,72,7,Action
1998,Blade,5,65,131,Horror
Drama,Drama,Drama,Drama,Drama,Drama
1998,The Red Violin,14,73,9,Drama
1998,Very Bad Things,15,62,9,Comedy
1998,Simon Birch,11,65,18,Comedy
1998,Rounders,8,69,22,Drama
1998,Elizabeth,9,71,82,Drama
1998,Rushmore,8,75,17,Comedy
1998,Urban Legend,12,56,72,Horror
1998,Ronin,5,67,41,Action
1998,A Night at the Roxbury,22,59,30,Comedy
1998,What Dreams May Come,20,68,71,Drama
1998,Antz,4,60,171,Adventure
1998,Practical Magic,15,63,46,Drama
1998,Happiness,9,74,2,Comedy
1998,Bride of Chucky,15,55,50,Horror
1998,Velvet Goldmine,15,69,1,Drama
1998,Soldier,7,61,14,Action
1998,Living Out Loud,15,53,12,Comedy
1998,American History X,18,82,23,Drama
1998,The Waterboy,12,59,185,Comedy
