year,title,length,score,sales,genre
2005,Ice Princess,12,59,27,Drama
Family,Family,Family,Family,Family,Family
2005,Guess Who,9,55,68,Comedy
2005,Sin City,8,72,158,Action
2005,Sahara,6,57,119,Action
2005,Fever Pitch,11,59,50,Comedy
2005,The Interpreter,15,62,162,Crime
2005,The Amityville Horror,21,60,108,Horror
2005,A Lot Like Love,15,65,42,Comedy
2005,xXx: State of the Union,23,47,71,Action
2005,House of Wax,12,55,68,Horror
2005,Kingdom of Heaven,17,66,211,Drama
2005,The Matador,11,62,17,Action
2005,Monster-in-Law,14,56,154,Romance
2005,Kicking & Screaming,19,56,56,Romance
2005,A Sound of Thunder,18,48,5,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2005,The Longest Yard,16,62,190,Comedy
2005,Madagascar,10,66,532,Family
2005,The Sisterhood of the Traveling Pants,37,63,39,Drama
2005,Cinderella Man,14,73,108,Romance
2005,Beauty Shop,11,54,36,Comedy
2005,Lords of Dogtown,16,70,13,Drama
2005,Goal!: The Dream Begins,23,66,27,Drama
2005,Mr. & Mrs. Smith,16,65,478,Action
2005,The Adventures of Sharkboy and Lavagirl,39,44,69,Adventure
2005,Batman Begins,13,75,374,Action
2005,Herbie Fully Loaded,19,51,66,Comedy
2005,Land of the Dead,16,60,46,Horror
2005,Dark Water,10,53,25,Drama
2005,War of the Worlds,17,62,591,Adventure
2005,Charlie and the Chocolate Factory,33,67,474,Adventure
2005,The Island,10,65,162,Action
2005,Must Love Dogs,14,58,58,Comedy
2005,Murderball,10,69,1,Documentary
2005,Hustle & Flow,13,69,23,Drama
2005,Stealth,7,49,76,Action
2005,The Skeleton Key,16,64,91,Drama
2005,Sympathy for Lady Vengeance,27,74,23,Drama
2005,Sky High,8,58,86,Adventure
2005,Transporter 2,13,62,85,Action
2005,Red Eye,7,62,57,Horror
2005,The Dukes of Hazzard,20,51,110,Action
2005,Deuce Bigalow: European Gigolo,30,47,22,Comedy
2005,The Protector,13,68,27,Action
2005,The 40 Year Old Virgin,22,62,109,Comedy
2005,Four Brothers,13,67,92,Action
2005,The Great Raid,14,68,10,Action
2005,Supercross,10,54,3,Action
2005,Tsotsi,6,69,9,Crime
2005,The Cave,8,51,15,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2005,Undiscovered,12,45,1,Comedy
2005,The Brothers Grimm,18,56,105,Adventure
2005,The Constant Gardener,21,68,82,Drama
2005,Brokeback Mountain,18,75,178,Drama
2005,The Lost City,13,60,4,Drama
2005,The Curse of the Were-Rabbit,28,68,192,Adventure
2005,Thank You for Smoking,21,71,24,Comedy
2005,Kiss Kiss Bang Bang,19,72,15,Action
2005,Water,5,68,10,Drama
2005,The Man,7,54,12,Action
2005,The Exorcism of Emily Rose,26,63,144,Crime
2005,Corpse Bride,12,72,117,Romance
2005,An Unfinished Life,18,67,18,Drama
2005,Harsh Times,11,63,5,Crime
Drama,Drama,Drama,Drama,Drama,Drama
2005,Dave Chappelle's Block Party,28,64,11,Comedy
2005,Walk the Line,13,73,186,Drama
2005,Romance & Cigarettes,20,60,2,Comedy
2005,Pride & Prejudice,17,77,121,Drama
2005,Lord of War,11,70,24,Crime
2005,Just Like Heaven,16,65,102,Comedy
2005,"Good Night, and Good Luck.",26,68,54,Drama
2005,Cry_Wolf,8,56,10,Horror
2005,Flightplan,10,61,223,Thriller
2005,Domino,6,60,22,Action
2005,Oliver Twist,12,67,42,Crime
2005,A History of Violence,21,69,60,Drama
2005,The Greatest Game Ever Played,29,69,15,Drama
2005,Into the Blue,13,58,44,Action
2005,Capote,6,68,49,Crime
2005,The Squid and the Whale,23,69,11,Comedy
2005,The Proposition,15,71,5,Action
2005,Elizabethtown,13,61,52,Comedy
2005,Waiting...,10,62,18,Comedy
2005,The Weather Man,15,60,12,Comedy
2005,Doom,4,50,55,Adventure
2005,The Work and the Glory II: American Zion,40,80,2,Drama
2005,Shopgirl,8,57,11,Comedy
2005,Nanny McPhee,12,64,122,Fantasy
2005,BloodRayne,10,35,2,Action
2005,The Legend of Zorro,19,59,142,Action
2005,The Rocket: The Legend of Rocket Richard,40,61,2,Drama
2005,Match Point,11,73,85,Drama
2005,Saw II,6,63,152,Horror
2005,Jarhead,7,66,96,Drama
Family,Family,Family,Family,Family,Family
2005,Harry Potter and the Goblet of Fire,35,75,895,Adventure
2005,Zathura: A Space Adventure,26,61,64,Family
2005,Joyeux Noël,12,72,17,Romance
2005,Get Rich or Die Tryin',22,63,46,Drama
2005,Derailed,8,61,57,Drama
2005,The Three Burials of Melquiades Estrada,39,70,12,Adventure
2005,Syriana,7,63,94,Drama
2005,Rent,4,67,31,Drama
2005,Æon Flux,9,54,52,Action
2005,Memoirs of a Geisha,19,73,162,Drama
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",62,67,748,Adventure
2005,King Kong,9,66,550,Adventure
Family,Family,Family,Family,Family,Family
2005,Fun with Dick and Jane,22,59,202,Comedy
2005,Cheaper by the Dozen 2,22,57,129,Comedy
2005,Munich,6,69,130,Drama
2005,Transamerica,12,69,13,Drama
2005,The Producers,13,61,38,Comedy
2005,The New World,13,64,30,Drama
2006,Running Scared,14,70,9,Action
2006,Grandma's Boy,13,66,6,Comedy
2006,Underworld: Evolution,21,64,111,Fantasy
2006,Last Holiday,12,64,38,Adventure
2006,Glory Road,10,72,42,Drama
2006,Bandidas,8,58,10,Action
2006,An Inconvenient Truth,21,67,46,Documentary
2006,Rang De Basanti,15,72,11,Drama
2006,Big Momma's House 2,19,54,138,Comedy
2006,When a Stranger Calls,21,54,66,Horror
2006,Firewall,8,56,82,Thriller
2006,Final Destination 3,19,58,117,Horror
2006,Curious George,14,62,69,Adventure
2006,Eight Below,11,67,120,Adventure
2006,Date Movie,10,36,48,Comedy
2006,Madea's Family Reunion,22,60,57,Drama
2006,Lucky Number Slevin,19,74,56,Drama
2006,16 Blocks,9,62,65,Action
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2006,Aquamarine,10,58,23,Fantasy
2006,American Dreamz,15,49,7,Comedy
2006,The Shaggy Dog,14,45,61,Comedy
2006,The Hills Have Eyes,19,61,69,Horror
2006,Failure to Launch,17,55,88,Comedy
2006,V for Vendetta,14,77,132,Action
2006,The Lives of Others,19,79,70,Drama
2006,Volver,6,73,85,Comedy
2006,Renaissance,11,67,1,Action
2006,Find Me Guilty,14,65,2,Drama
Drama,Drama,Drama,Drama,Drama,Drama
2006,She's the Man,13,64,33,Comedy
2006,Inside Man,10,73,184,Crime
Family,Family,Family,Family,Family,Family
2006,Stay Alive,10,53,27,Horror
2006,Basic Instinct 2,16,46,38,Crime
2006,ATL,3,60,21,Drama
2006,Scary Movie 4,13,53,178,Comedy
2006,The Sentinel,12,58,77,Action
2006,Silent Hill,11,63,97,Horror
2006,Over the Hedge,14,63,343,Comedy
2006,United 93,9,69,76,Drama
2006,Akeelah and the Bee,19,67,18,Drama
2006,Mission: Impossible III,23,65,397,Adventure
2006,Poseidon,8,55,181,Adventure
2006,Just My Luck,12,58,38,Comedy
2006,"Paris, je t'aime",16,68,4,Drama
2006,The Da Vinci Code,17,65,767,Thriller
2006,The Wind That Shakes the Barley,31,71,22,Drama
2006,Shortbus,8,63,5,Romance
2006,X-Men: The Last Stand,21,63,459,Adventure
2006,Marie Antoinette,16,65,60,Drama
2006,Clerks II,9,69,26,Comedy
Family,Family,Family,Family,Family,Family
2006,Pan's Labyrinth,15,76,83,Fantasy
2006,The Break-Up,12,56,204,Romance
2006,The Fast and the Furious: Tokyo Drift,37,61,158,Action
Family,Family,Family,Family,Family,Family
Family,Family,Family,Family,Family,Family
2006,The Lake House,14,65,114,Romance
2006,Nacho Libre,11,56,80,Comedy
2006,Pirates of the Caribbean: Dead Man's Chest,42,70,1065,Adventure
2006,My Super Ex-Girlfriend,22,48,60,Fantasy
2006,Click,5,60,237,Comedy
2006,Superman Returns,16,54,391,Adventure
2006,The Devil Wears Prada,21,70,326,Comedy
2006,Bon Cop Bad Cop,15,65,12,Action
2006,"You, Me and Dupree",18,54,130,Comedy
2006,Stormbreaker,12,51,23,Adventure
Family,Family,Family,Family,Family,Family
2006,Lady in the Water,17,53,42,Drama
2006,Little Miss Sunshine,20,75,100,Comedy
2006,The Host,8,67,88,Horror
2006,The Ant Bully,13,55,55,Fantasy
2006,Scoop,5,64,31,Comedy
2006,Who Killed the Electric Car?,28,72,1,Documentary
2006,Talladega Nights: The Ballad of Ricky Bobby,43,62,162,Comedy
Family,Family,Family,Family,Family,Family
2006,Snakes on a Plane,17,51,62,Action
2006,World Trade Center,18,59,162,Drama
2006,Zoom,4,49,12,Family
Drama,Drama,Drama,Drama,Drama,Drama
2006,Pulse,5,50,29,Horror
2006,Kabhi Alvida Naa Kehna,22,61,17,Drama
2006,Half Nelson,11,65,4,Drama
2006,The Illusionist,15,71,86,Fantasy
2006,Beerfest,8,58,19,Comedy
2006,Fur: An Imaginary Portrait of Diane Arbus,41,58,2,Drama
2006,Little Man,10,53,101,Comedy
2006,Crank,5,66,42,Action
2006,The Last King of Scotland,25,74,48,Drama
2006,Crossover,9,42,7,Action
2006,Black Book,10,72,26,Drama
2006,Alatriste,9,56,23,Action
2006,The Namesake,12,68,20,Drama
2006,The Fountain,12,68,15,Drama
2006,Friends with Money,18,51,13,Comedy
2006,The Covenant,12,52,37,Action
2006,Babel,5,69,135,Drama
2006,Stranger Than Fiction,21,71,53,Comedy
2006,Rescue Dawn,11,69,7,Adventure
2006,A Good Year,11,65,42,Comedy
2006,All the King's Men,18,57,9,Drama
2006,This Is England,15,74,8,Drama
2006,Perfume: The Story of a Murderer,32,71,132,Crime
Family,Family,Family,Family,Family,Family
2006,The Queen,9,68,123,Drama
2006,The Black Dahlia,16,57,49,Drama
2006,Gridiron Gang,13,65,41,Action
2006,Jackass Number Two,18,64,72,Action
2006,Flyboys,7,63,17,Action
2006,Children of Men,15,74,69,Drama
2006,School for Scoundrels,21,56,17,Comedy
2006,Open Season,11,61,197,Adventure
2006,Facing the Giants,17,66,10,Drama
2006,The History Boys,16,66,13,Comedy
2006,The Departed,12,79,289,Drama
2006,Little Children,15,69,14,Romance
2006,Employee of the Month,21,53,38,Comedy
2006,Man of the Year,15,58,41,Comedy
2006,The Marine,10,50,22,Action
2006,The Grudge 2,12,52,39,Horror
2006,One Night with the King,23,61,13,Drama
2006,The Hoax,8,64,11,Comedy
2006,The Astronaut Farmer,20,62,11,Adventure
Action,Action,Action,Action,Action,Action
2006,The Prestige,12,80,109,Drama
2006,Night at the Museum,19,63,574,Action
2006,Flicka,6,61,21,Drama
2006,Flushed Away,12,60,64,Adventure
2006,Saw III,7,61,163,Horror
2006,Running with Scissors,21,58,6,Drama
2006,Catch a Fire,12,64,4,Action
2006,Borat: Cultural Learnings of America for Make Benefit Glorious,62,65,261,Comedy
2006,Casino Royale,13,73,599,Adventure
2006,Infamous,8,64,1,Drama
Family,Family,Family,Family,Family,Family
2006,Let's Go to Prison,18,55,4,Comedy
2006,For Your Consideration,22,59,5,Comedy
2006,Deck the Halls,14,51,47,Comedy
2006,Miss Potter,11,63,35,Drama
2006,Blood Diamond,13,73,170,Drama
2006,Apocalypto,10,73,120,Action
2006,The Holiday,11,67,194,Comedy
Action,Action,Action,Action,Action,Action
2006,Black Snake Moan,16,66,10,Drama
2006,Smokin' Aces,12,64,57,Action
2006,300,3,70,422,Action
2006,We Are Marshall,15,67,43,Drama
2006,Arthur and the Invisibles,25,60,107,Adventure
2006,The Pursuit of Happyness,24,77,307,Drama
2006,Eragon,6,49,249,Fantasy
2006,Charlotte's Web,15,58,144,Comedy
2006,Letters from Iwo Jima,21,72,68,Action
2006,Rocky Balboa,12,65,155,Drama
2006,Notes on a Scandal,18,69,49,Drama
2006,Dreamgirls,10,66,154,Drama
2006,Black Christmas,15,48,21,Horror
2007,A Mighty Heart,14,67,18,Drama
2007,Freedom Writers,15,75,41,Crime
2007,Code Name: The Cleaner,22,47,10,Action
2007,Epic Movie,10,32,86,Action
2007,Because I Said So,17,58,69,Comedy
2007,Hannibal Rising,15,60,82,Crime
2007,Premonition,11,58,84,Thriller
2007,Dragon Wars: D-War,18,40,53,Fantasy
2007,You Kill Me,11,62,2,Comedy
2007,Music and Lyrics,16,62,145,Comedy
2007,Hot Fuzz,8,74,80,Crime
2007,88 Minutes,10,57,16,Crime
2007,Ghost Rider,11,52,228,Thriller
2007,Bridge to Terabithia,20,70,137,Adventure
2007,The Number 23,13,63,77,Thriller
2007,Reno 911!: Miami,16,56,20,Action
2007,Zodiac,6,73,84,Crime
2007,Wild Hogs,9,56,253,Action
2007,Becoming Jane,13,69,37,Drama
2007,I Think I Love My Wife,22,50,13,Comedy
2007,Shooter,7,69,95,Action
2007,Mr. Bean's Holiday,18,61,229,Family
2007,TMNT,4,60,95,Adventure
2007,Reign Over Me,13,71,22,Drama
2007,Once,4,73,20,Drama
2007,The Reaping,11,54,62,Horror
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2007,Grindhouse,10,68,25,Thriller
2007,[REC],5,71,30,Horror
2007,Disturbia,9,66,117,Thriller
2007,In the Land of Women,20,58,17,Romance
2007,The Last Legion,15,50,25,Action
2007,28 Weeks Later,14,65,64,Horror
2007,Spider-Man 3,12,59,890,Fantasy
2007,Lucky You,9,54,5,Drama
2007,Stomp the Yard,14,61,75,Drama
2007,My Blueberry Nights,19,60,21,Drama
2007,Shrek the Third,15,60,798,Fantasy
2007,Sicko,5,73,24,Documentary
Drama,Drama,Drama,Drama,Drama,Drama
2007,Pirates of the Caribbean: At World's End,40,69,961,Adventure
2007,The Diving Bell and the Butterfly,33,74,19,Drama
2007,We Own the Night,16,65,54,Drama
2007,Waitress,8,67,22,Comedy
2007,Knocked Up,10,62,219,Comedy
2007,Gracie,6,60,2,Drama
2007,Ocean's Thirteen,16,65,311,Crime
Family,Family,Family,Family,Family,Family
2007,Hostel: Part II,15,56,35,Horror
2007,Evan Almighty,13,53,173,Fantasy
2007,Fantastic 4: Rise of the Silver Surfer,38,54,289,Adventure
2007,Live Free or Die Hard,21,64,383,Action
Family,Family,Family,Family,Family,Family
2007,Transformers,12,66,709,Adventure
2007,Harry Potter and the Order of the Phoenix,41,74,938,Adventure
2007,License to Wed,14,52,69,Comedy
2007,1408,4,65,94,Horror
2007,Hairspray,9,65,90,Family
Family,Family,Family,Family,Family,Family
2007,No Reservations,15,61,92,Comedy
2007,No End in Sight,15,72,1,Documentary
2007,The Bourne Ultimatum,20,73,442,Action
2007,Hot Rod,7,63,14,Action
2007,Rush Hour 3,11,61,258,Action
2007,Daddy Day Camp,14,44,18,Comedy
2007,Stardust,8,71,135,Adventure
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2007,Superbad,8,70,121,Comedy
2007,High School Musical 2,21,61,7,Comedy
2007,The Kingdom,11,65,86,Thriller
2007,War,3,60,40,Action
2007,"4 Months, 3 Weeks and 2 Days",28,73,1,Drama
2007,The Orphanage,13,71,44,Horror
2007,Atonement,9,74,129,Drama
2007,In the Valley of Elah,21,66,29,History
2007,Death Sentence,14,65,16,Action
2007,The Assassination of Jesse James by the Coward Robert Ford,58,70,14,Action
2007,"Run, Fatboy, Run",16,62,33,Comedy
Action,Action,Action,Action,Action,Action
2007,Rendition,9,62,24,Drama
2007,Diary of the Dead,17,54,5,Horror
2007,Elizabeth: The Golden Age,25,66,74,Drama
2007,Into the Wild,13,78,56,Adventure
2007,Paranormal Activity,19,59,193,Horror
2007,Eastern Promises,16,72,55,Thriller
2007,Resident Evil: Extinction,25,61,148,Horror
2007,Mongol: The Rise of Genghis Khan,32,65,26,History
2007,Sydney White,12,60,13,Comedy
2007,Good Luck Chuck,15,55,59,Comedy
2007,Things We Lost in the Fire,26,67,2,Drama
2007,Control,7,75,8,Drama
2007,The Game Plan,13,60,147,Comedy
2007,Michael Clayton,15,65,92,Drama
2007,I'm Not There.,14,66,4,Drama
2007,Love in the Time of Cholera,27,64,4,Drama
2007,Why Did I Get Married?,22,61,55,Comedy
2007,Lars and the Real Girl,22,71,11,Comedy
2007,The Kite Runner,15,73,73,Drama
2007,30 Days of Night,16,62,75,Horror
2007,Funny Games,11,63,7,Horror
2007,Lions for Lambs,15,60,63,Action
2007,Saw IV,6,59,139,Horror
2007,Bee Movie,9,57,287,Family
2007,American Gangster,17,74,266,Drama
2007,Beowulf,7,55,195,Adventure
2007,No Country for Old Men,22,77,171,Crime
2007,P.S. I Love You,15,69,156,Drama
2007,Enchanted,9,66,340,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2007,Hitman,6,59,99,Action
2007,August Rush,11,71,66,Drama
2007,Awake,5,63,14,Thriller
2007,The Golden Compass,18,58,372,Adventure
2007,Juno,4,70,231,Comedy
2007,Alvin and the Chipmunks,23,55,361,Comedy
2007,I Am Legend,11,69,585,Drama
2007,Virgin Territory,16,43,5,Adventure
2007,Charlie Wilson's War,20,65,119,Comedy
2007,Walk Hard: The Dewey Cox Story,30,66,18,Comedy
2007,The Bucket List,15,70,175,Drama
2007,Aliens vs Predator: Requiem,27,49,41,Fantasy
2007,The Great Debaters,18,69,30,Drama
2007,There Will Be Blood,19,79,77,Drama
2008,Welcome to the Sticks,21,68,53,Comedy
2008,27 Dresses,10,61,160,Comedy
2008,Asterix at the Olympic Games,28,50,132,Fantasy
2008,Cloverfield,11,64,170,Action
2008,Transsiberian,13,65,5,Thriller
2008,Sunshine Cleaning,17,65,16,Comedy
2008,Untraceable,11,59,32,Drama
2008,Meet the Spartans,17,37,84,Comedy
2008,CJ7,3,61,47,Comedy
2008,Changeling,10,73,113,Crime
2008,Vantage Point,13,62,151,Drama
2008,The Eye,7,55,56,Drama
2008,Strange Wilderness,18,47,6,Comedy
2008,Role Models,11,64,92,Comedy
2008,Fool's Gold,11,54,111,Romance
2008,Welcome Home Roscoe Jenkins,27,57,43,Comedy
2008,In Bruges,9,74,34,Comedy
2008,"Definitely, Maybe",17,67,55,Comedy
2008,Jumper,6,59,222,Adventure
2008,The Spiderwick Chronicles,25,63,162,Adventure
Drama,Drama,Drama,Drama,Drama,Drama
2008,Dolphins and Whales: Tribes of the Ocean,40,80,7,Documentary
2008,Taken,5,72,226,Action
2008,The Bank Job,12,66,64,Thriller
2008,Semi-Pro,8,54,33,Comedy
2008,Never Back Down,15,64,41,Drama
2008,The Wave,8,75,19,Drama
2008,Stargate: The Ark of Truth,26,69,8,Adventure
2008,Doomsday,8,58,22,Action
2008,Under the Same Moon,19,70,23,Drama
2008,Leatherheads,12,57,41,Comedy
2008,Superhero Movie,15,49,25,Action
2008,21,2,65,69,Drama
2008,Stop-Loss,9,61,11,Drama
2008,Nim's Island,12,56,100,Adventure
2008,Street Kings,12,63,65,Action
2008,Prom Night,10,48,14,Crime
2008,Forgetting Sarah Marshall,25,64,105,Comedy
2008,The Forbidden Kingdom,21,63,127,Action
2008,Baby Mama,9,58,63,Comedy
2008,Harold & Kumar Escape from Guantanamo Bay,41,62,43,Comedy
2008,"War, Inc.",9,56,1,Action
2008,Iron Man,8,74,585,Action
2008,Made of Honor,13,60,84,Comedy
2008,What Happens in Vegas,21,58,170,Comedy
Action,Action,Action,Action,Action,Action
2008,Speed Racer,11,57,93,Action
2008,Slumdog Millionaire,19,76,377,Drama
2008,Blindness,9,64,19,Drama
2008,The Chronicles of Narnia: Prince Caspian,40,63,419,Adventure
2008,Indiana Jones and the Kingdom of the Crystal Skull,50,57,786,Adventure
2008,Kung Fu Panda,13,69,631,Adventure
2008,You Don't Mess with the Zohan,29,55,201,Comedy
2008,The Happening,13,49,163,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2008,Wanted,6,64,258,Action
2008,Get Smart,9,60,230,Action
2008,The Love Guru,13,43,41,Comedy
Family,Family,Family,Family,Family,Family
2008,Waltz with Bashir,17,78,11,Drama
2008,The Mummy: Tomb of the Dragon Emperor,37,52,401,Adventure
2008,Hancock,7,62,624,Fantasy
2008,The Wackness,12,62,2,Drama
2008,The Children of Huang Shi,25,65,7,Drama
2008,Mamma Mia!,10,64,609,Comedy
2008,Meet Dave,9,50,50,Comedy
2008,Red Cliff,9,71,127,Adventure
2008,Journey to the Center of the Earth,34,58,101,Action
2008,Hellboy II: The Golden Army,27,65,160,Adventure
2008,The Dark Knight,15,82,1004,Drama
Family,Family,Family,Family,Family,Family
Family,Family,Family,Family,Family,Family
2008,The X Files: I Want to Believe,30,55,68,Drama
2008,Step Brothers,13,65,128,Comedy
2008,Man on Wire,11,75,2,Thriller
2008,Swing Vote,10,58,17,Drama
2008,The Sisterhood of the Traveling Pants 2,39,60,44,Adventure
2008,Pineapple Express,17,66,101,Action
2008,Bottle Shock,12,66,4,Comedy
Drama,Drama,Drama,Drama,Drama,Drama
2008,Tropic Thunder,14,65,188,Action
2008,Vicky Cristina Barcelona,24,67,96,Drama
2008,Mirrors,7,60,72,Horror
2008,The Rocker,10,56,8,Comedy
2008,Babylon A.D.,12,54,72,Action
2008,Bangkok Dangerous,17,50,42,Action
2008,The House Bunny,15,56,70,Romance
2008,Death Race,10,60,73,Action
2008,College,7,48,6,Comedy
2008,Disaster Movie,14,30,14,Action
2008,RockNRolla,10,69,25,Action
2008,Burn After Reading,18,65,163,Comedy
2008,The Wrestler,12,73,44,Drama
2008,The Brothers Bloom,18,68,5,Adventure
2008,Pride and Glory,15,63,31,Thriller
2008,Righteous Kill,14,59,73,Action
2008,The Women,9,46,50,Comedy
2008,Eden Lake,9,67,3,Horror
2008,Appaloosa,9,63,20,Drama
2008,Miracle at St. Anna,19,63,9,Drama
2008,The Secret Life of Bees,23,74,38,Adventure
2008,Zack and Miri Make a Porno,26,61,42,Comedy
2008,My Best Friend's Girl,21,54,36,Romance
2008,Lakeview Terrace,16,59,27,Drama
2008,The Class,9,68,28,Drama
Drama,Drama,Drama,Drama,Drama,Drama
2008,Fireproof,9,70,33,Drama
2008,Choke,5,60,3,Comedy
2008,How to Lose Friends & Alienate People,37,62,17,Comedy
2008,Nick and Norah's Infinite Playlist,34,64,32,Comedy
2008,Beverly Hills Chihuahua,23,49,149,Adventure
2008,An American Carol,17,41,7,Comedy
2008,City of Ember,13,62,17,Adventure
2008,Bronson,7,69,2,Drama
2008,The Hurt Locker,15,72,42,Drama
2008,The Express,11,71,9,Drama
2008,Quarantine,10,55,40,Horror
2008,Body of Lies,12,65,113,Action
2008,Max Payne,9,52,85,Action
2008,Sex Drive,9,60,18,Comedy
2008,What Just Happened,18,52,6,Comedy
2008,W.,2,61,29,Drama
2008,Saw V,5,59,113,Horror
Family,Family,Family,Family,Family,Family
2008,Quantum of Solace,17,61,586,Adventure
2008,Madagascar: Escape 2 Africa,27,62,603,Family
2008,Australia,9,63,49,Drama
2008,Two Lovers,10,66,3,Drama
2008,Twilight,8,58,392,Adventure
Family,Family,Family,Family,Family,Family
2008,The Curious Case of Benjamin Button,35,73,333,Fantasy
2008,Milk,4,71,54,History
2008,Four Christmases,16,53,163,Comedy
2008,Doubt,5,70,50,Drama
2008,Ong Bak 2,9,60,8,Adventure
2008,Punisher: War Zone,18,56,10,Action
2008,Yes Man,7,64,225,Comedy
2008,Gran Torino,11,78,269,Drama
2008,The Reader,10,72,113,Drama
2008,The Day the Earth Stood Still,29,52,233,Drama
2008,Inkheart,8,60,57,Adventure
2008,The Inhabited Island,20,53,21,Action
2008,Seven Pounds,12,75,168,Drama
2008,The Tale of Despereaux,22,58,50,Adventure
2008,Revolutionary Road,18,67,75,Drama
2008,Bedtime Stories,15,59,212,Fantasy
2008,Valkyrie,8,67,200,Drama
2008,The Spirit,10,47,39,Action
2008,Marley & Me,11,69,244,Comedy
2009,Daybreakers,11,60,51,Fantasy
2009,The Unborn,10,48,76,Horror
2009,Dead Snow,9,61,1,Horror
2009,Bride Wars,10,59,114,Comedy
2009,Paul Blart: Mall Cop,20,52,183,Action
Drama,Drama,Drama,Drama,Drama,Drama
2009,Hotel for Dogs,14,57,73,Comedy
2009,Brooklyn's Finest,17,62,29,Crime
2009,I Love You Phillip Morris,25,64,10,Comedy
2009,Underworld: Rise of the Lycans,30,62,91,Fantasy
2009,Brothers,8,68,43,Drama
2009,New in Town,11,52,29,Comedy
2009,The International,17,60,60,Drama
Family,Family,Family,Family,Family,Family
2009,My Life in Ruins,16,56,20,Comedy
2009,He's Just Not That Into You,27,62,177,Comedy
2009,Cheri,5,59,9,Drama
2009,Madea Goes to Jail,18,64,90,Comedy
2009,Street Fighter: The Legend of Chun-Li,37,39,12,Action
2009,The Young Victoria,18,70,27,Drama
2009,Watchmen,8,70,185,Action
2009,City Island,11,69,6,Drama
2009,17 Again,8,61,136,Comedy
2009,Race to Witch Mountain,22,55,106,Adventure
2009,The Last House on the Left,26,62,32,Crime
2009,The Twilight Saga: New Moon,27,56,709,Adventure
2009,Drag Me to Hell,15,62,90,Horror
Family,Family,Family,Family,Family,Family
2009,Knowing,7,59,155,Action
2009,Duplicity,9,57,60,Romance
2009,12 Rounds,9,57,17,Action
2009,"I Love You, Man",15,65,91,Comedy
2009,Chloe,5,59,8,Drama
2009,The Boat That Rocked,20,72,36,Drama
2009,Adventureland,13,64,17,Comedy
2009,Observe and Report,18,56,24,Comedy
2009,Hannah Montana: The Movie,25,60,155,Comedy
2009,Crank: High Voltage,19,59,34,Action
2009,State of Play,13,67,87,Action
2009,City of Life and Death,22,76,10,Drama
2009,The Soloist,11,66,31,Drama
2009,X-Men Origins: Wolverine,24,62,373,Adventure
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
Family,Family,Family,Family,Family,Family
2009,Angels & Demons,15,65,356,Thriller
2009,Fish Tank,9,69,2,Drama
2009,Agora,5,69,39,Adventure
2009,Terminator Salvation,20,59,371,Action
2009,Night at the Museum: Battle of the Smithsonian,46,59,413,Adventure
2009,The Proposal,12,67,317,Comedy
2009,The Hangover,12,72,459,Comedy
2009,Land of the Lost,16,53,68,Adventure
2009,Away We Go,10,67,14,Drama
2009,Tidal Wave,10,65,11,Action
2009,A Perfect Getaway,17,62,22,Thriller
2009,The Taking of Pelham 1 2 3,26,62,150,Thriller
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2009,Hachi: A Dog's Tale,19,77,47,Drama
2009,Year One,8,46,62,Comedy
2009,Whatever Works,14,68,35,Comedy
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2009,My Sister's Keeper,18,71,95,Drama
Family,Family,Family,Family,Family,Family
2009,Public Enemies,14,65,214,History
2009,Harry Potter and the Half-Blood Prince,38,74,933,Adventure
2009,(500) Days of Summer,20,72,60,Comedy
2009,G-Force,7,51,292,Fantasy
2009,The Ugly Truth,14,64,205,Comedy
2009,Orphan,6,67,41,Horror
2009,Adam,4,69,2,Drama
2009,Funny People,12,57,61,Comedy
2009,Aliens in the Attic,19,53,57,Adventure
2009,G.I. Joe: The Rise of Cobra,27,56,302,Adventure
Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi
2009,Julie & Julia,13,66,129,Romance
2009,Bandslam,8,54,5,Comedy
2009,The Secret in Their Eyes,24,78,33,Crime
2009,Case 39,7,61,29,Horror
2009,The Time Traveler's Wife,24,67,101,Drama
2009,Inglourious Basterds,20,79,319,Drama
2009,9,1,66,48,Action
2009,Shorts,6,51,28,Comedy
2009,Post Grad,9,50,6,Comedy
2009,The Final Destination,21,54,186,Horror
